trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:25:31,0:32:48,0:07:17,8.595,8.512,0.083,5/20/25,0,RCC00036_bucket_e3v810a-20250520T163706-173706.mp4
1,0:40:28,0:53:09,0:12:41,8.315,8.186,0.129,5/22/25,1,RCC00036_bucket_e3v810a-20250522T083736-093737.mp4
2,0:58:18,Failed,0:30:00,8.426,8.261,0.165,5/22/25,1,RCC00036_bucket_e3v810a-20250522T083736-093737.mp4
3,0:32:28,Failed,0:30:00,8.683,8.5,0.183,5/22/25,1,RCC00036_bucket_e3v810a-20250522T093737-103737.mp4
4,0:07:53,0:16:23,0:08:30,8.569,8.432,0.137,5/22/25,1,RCC00036_bucket_e3v810a-20250522T103737-113738.mp4
5,0:24:11,Failed,0:30:00,8.499,8.361,0.138,5/22/25,1,RCC00036_bucket_e3v810a-20250522T103737-113738.mp4
6,0:56:59,1:09:33,0:12:34,8.577,8.42,0.157,5/22/25,1,RCC00036_bucket_e3v810a-20250522T103737-113738.mp4
1,0:49:25,0:54:38,0:05:13,8.366,8.194,0.172,5/23/25,2,RCC00036_bucket_e3v810a-20250523T083754-093755.mp4
2,0:09:56,0:11:28,0:01:32,8.344,8.284,0.06,5/23/25,2,RCC00036_bucket_e3v810a-20250523T093755-103755.mp4
3,0:27:32,0:31:28,0:03:56,8.674,8.522,0.152,5/23/25,2,RCC00036_bucket_e3v810a-20250523T093755-103755.mp4
4,0:53:16,0:57:05,0:03:49,8.592,8.453,0.139,5/23/25,2,RCC00036_bucket_e3v810a-20250523T093755-103755.mp4
5,0:06:03,0:12:21,0:06:18,8.579,8.381,0.198,5/23/25,2,RCC00036_bucket_e3v810a-20250523T103755-113756.mp4
6,0:00:53,0:04:57,0:04:04,8.6,8.452,0.148,5/23/25,2,RCC00036_bucket_e3v810a-20250523T113756-123757.mp4
1,0:26:54,0:52:10,0:25:16,8.372,8.211,0.161,5/24/25,3,RCC00036_bucket_e3v810a-20250524T092913-102913.mp4
2,0:53:20,0:56:52,0:03:32,8.436,8.289,0.147,5/24/25,3,RCC00036_bucket_e3v810a-20250524T092913-102913.mp4
3,0:02:47,0:05:04,0:02:17,8.637,8.499,0.138,5/24/25,3,RCC00036_bucket_e3v810a-20250524T102913-112914.mp4
4,0:12:51,0:15:17,0:02:26,8.57,8.428,0.142,5/24/25,3,RCC00036_bucket_e3v810a-20250524T102913-112914.mp4
5,0:23:04,0:24:37,0:01:33,8.49,8.363,0.127,5/24/25,3,RCC00036_bucket_e3v810a-20250524T102913-112914.mp4
6,0:35:46,0:38:58,0:03:12,8.591,8.425,0.166,5/24/25,3,RCC00036_bucket_e3v810a-20250524T102913-112914.mp4
1,0:30:45,0:41:57,0:11:12,8.461,8.343,0.118,5/26/25,4,RCC00036_bucket_e3v810a-20250526T074515-084517.mp4
2,0:52:03,1:05:37,0:13:34,8.426,8.22,0.206,5/26/25,4,RCC00036_bucket_e3v810a-20250526T074515-084517.mp4
3,0:21:29,0:24:00,0:02:31,8.574,8.415,0.159,5/26/25,4,RCC00036_bucket_e3v810a-20250526T084515-094516.mp4
4,0:37:07,0:39:41,0:02:34,8.537,8.445,0.092,5/26/25,4,RCC00036_bucket_e3v810a-20250526T084515-094516.mp4
5,0:51:58,0:57:45,0:05:47,8.557,8.356,0.201,5/26/25,4,RCC00036_bucket_e3v810a-20250526T084515-094516.mp4
6,0:14:27,0:17:35,0:03:08,8.417,8.255,0.162,5/26/25,4,RCC00036_bucket_e3v810a-20250526T094516-103014.mp4
