trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:28:44,12:17:44,11:49:00,8.545,8.343,0.202,2/7/26,0,RCC00098_bucket_e3v810a-20260207T164534-174534.mp4
1,0:31:43,0:46:45,0:15:02,8.505,8.343,0.162,2/9/26,1,RCC00098_bucket_e3v810a-20260209T084555-094555.mp4
2,0:58:53,1:00:33,0:01:40,8.36,8.222,0.138,2/9/26,1,RCC00098_bucket_e3v810a-20260209T084555-094555.mp4
3,0:11:36,0:13:18,0:01:42,8.586,8.419,0.167,2/9/26,1,RCC00098_bucket_e3v810a-20260209T094555-104555.mp4
4,0:26:18,0:28:10,0:01:52,8.611,8.445,0.166,2/9/26,1,RCC00098_bucket_e3v810a-20260209T094555-104555.mp4
5,0:45:08,0:46:32,0:01:24,8.469,8.359,0.11,2/9/26,1,RCC00098_bucket_e3v810a-20260209T094555-104555.mp4
6,0:58:30,1:00:48,0:02:18,8.397,8.257,0.14,2/9/26,1,RCC00098_bucket_e3v810a-20260209T094555-104555.mp4
1,0:36:37,0:40:50,0:04:13,8.466,8.343,0.123,2/10/26,2,RCC00098_bucket_e3v810a-20260210T085107-095107.mp4
2,0:52:04,0:53:00,0:00:56,8.38,8.222,0.158,2/10/26,2,RCC00098_bucket_e3v810a-20260210T085107-095107.mp4
3,0:04:58,0:05:24,0:00:26,8.667,8.419,0.248,2/10/26,2,RCC00098_bucket_e3v810a-20260210T095107-105108.mp4
4,0:15:47,0:16:46,0:00:59,8.625,8.443,0.182,2/10/26,2,RCC00098_bucket_e3v810a-20260210T095107-105108.mp4
5,0:29:04,0:30:13,0:01:09,8.53,8.359,0.171,2/10/26,2,RCC00098_bucket_e3v810a-20260210T095107-105108.mp4
6,0:40:07,0:40:39,0:00:32,8.463,8.257,0.206,2/10/26,2,RCC00098_bucket_e3v810a-20260210T095107-105108.mp4
1,0:13:44,0:16:53,0:03:09,8.53,8.345,0.185,2/11/26,3,RCC00098_bucket_e3v810a-20260211T092159-102200.mp4
2,0:27:17,0:28:01,0:00:44,8.468,8.224,0.244,2/11/26,3,RCC00098_bucket_e3v810a-20260211T092159-102200.mp4
3,0:41:14,0:42:07,0:00:53,8.652,8.419,0.233,2/11/26,3,RCC00098_bucket_e3v810a-20260211T092159-102200.mp4
4,0:55:42,0:56:18,0:00:36,8.629,8.449,0.18,2/11/26,3,RCC00098_bucket_e3v810a-20260211T092159-102200.mp4
5,0:09:17,0:09:54,0:00:37,8.549,8.362,0.187,2/11/26,3,RCC00098_bucket_e3v810a-20260211T102200-112200.mp4
6,0:26:34,0:27:46,0:01:12,8.471,8.262,0.209,2/11/26,3,RCC00098_bucket_e3v810a-20260211T102200-112200.mp4
1,0:51:33,0:57:30,0:05:57,8.589,8.342,0.247,2/12/26,4,RCC00098_bucket_e3v810a-20260212T082211-092212.mp4
2,0:08:05,0:08:43,0:00:38,8.351,8.221,0.13,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4
3,0:18:46,0:18:59,0:00:13,8.625,8.42,0.205,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4
4,0:29:33,0:29:50,0:00:17,8.68,8.452,0.228,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4
5,0:41:24,0:41:50,0:00:26,8.552,8.359,0.193,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4
6,0:52:15,0:53:11,0:00:56,8.487,8.258,0.229,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4
