trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
0,,Failed Hunt,,N,0.124,5/12/25,0,RCC00040_bucket_e3v81a8-20250512T165256-175257.mp4,16:52:26,,
1,10:27:54,0:24:00,3,N,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4,10:03:54,,
1,10:33:30,0:29:36,2.1,N,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4,10:03:54,,
1,10:36:40,0:32:46,1.2,N,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4,10:03:54,,
1,10:38:23,0:34:29,0.8,N,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4,10:03:54,,
1,10:38:58,0:35:04,1.7,N,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4,10:03:54,,
1,10:39:01,0:35:07,2.3,N,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4,10:03:54,,
1,10:39:41,0:35:47,3.1,N,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4,10:03:54,,
1,10:42:58,0:39:04,4.8,N,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4,10:03:54,,
1,10:44:09,0:40:15,48,Y,0.094,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T100354-110354.mp4,10:03:54,Mid,could also be 40s
2,11:06:52,0:02:58,1,N,0.119,5/15/25,1,RCC00040_bucket_e3v81a8-20250514T110354-120355.mp4,11:03:54,,
2,11:08:59,0:05:05,1,N,0.119,5/15/25,1,RCC00040_bucket_e3v81a8-20250514T110354-120355.mp4,11:03:54,Mid,can be combined as 1 strike with next one. The roach escape for a quick while and got caught again.
2,11:09:01,0:05:07,31,Y,0.119,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T110354-120355.mp4,11:03:54,Mid,
3,,Failed Hunt,,N,0.161,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T110354-120355.mp4,11:03:54,,
4,12:00:43,0:56:49,1.1,N,0.107,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T110354-120355.mp4,11:03:54,,
4,12:11:29,0:07:34,2,N,0.107,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T120355-130356.mp4,12:03:55,,
4,12:16:04,0:12:09,1,N,0.107,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T120355-130356.mp4,12:03:55,,
4,12:19:13,0:15:18,1,N,0.107,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T120355-130356.mp4,12:03:55,,
4,12:21:49,0:17:54,1.5,N,0.107,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T120355-130356.mp4,12:03:55,,
4,12:21:57,0:18:02,2,N,0.107,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T120355-130356.mp4,12:03:55,,
4,12:22:18,0:18:23,28,Y,0.107,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T120355-130356.mp4,12:03:55,Low,"Hard to know exactly when the roach is killed, could be 5 seconds later"
5,,Failed Hunt,,N,0.16,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T120355-130356.mp4,12:03:55,,
6,,Failed Hunt,,N,0.176,5/14/25,1,RCC00040_bucket_e3v81a8-20250514T130356-140357.mp4,13:03:56,,
1,9:12:08,0:45:11,1.8,N,0.12,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T082657-092657.mp4,8:26:57,,
1,9:13:49,0:46:52,2.7,N,0.12,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T082657-092657.mp4,8:26:57,,
1,9:16:56,0:49:59,1,N,0.12,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T082657-092657.mp4,8:26:57,,
1,9:18:17,0:51:20,0.5,N,0.12,5/15/25,2,RCC00040_bucket_e3v81a8-20250515T082657-092657.mp4,8:26:57,,
