trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:41:47,3:51:28,3:09:41,8.581,8.477,0.104,5/28/25,0,RCC00042_bucket_e3v810a-20250528T163421-173422.mp4
1,0:20:03,Failed (0:56:00),0:30:00,8.922,8.813,0.109,5/30/25,1,RCC00042_bucket_e3v810a-20250530T085858-095858.mp4
2,0:56:53,1:19:44,0:22:51,9.088,8.887,0.201,5/30/25,1,RCC00042_bucket_e3v810a-20250530T085858-095858.mp4
3,0:26:05,Failed (1:11:55),0:30:00,9.231,9.127,0.104,5/30/25,1,RCC00042_bucket_e3v810a-20250530T085858-095858.mp4
4,0:12:33,Failed (0:48:10),0:30:00,9.155,9.059,0.096,5/30/25,1,RCC00042_bucket_e3v810a-20250530T105859-115859.mp4
5,0:48:47,Failed (1:28:23),0:30:00,9.165,8.99,0.175,5/30/25,1,RCC00042_bucket_e3v810a-20250530T105859-115859.mp4
6,0:34:17,Failed,0:30:00,9.205,9.047,0.158,5/30/25,1,RCC00042_bucket_e3v810a-20250530T115859-125900.mp4
1,0:52:54,0:59:49,0:06:55,8.485,8.338,0.147,5/31/25,2,RCC00042_bucket_e3v810a-20250531T075917-085918.mp4
2,0:04:14,0:09:20,0:05:06,8.363,8.219,0.144,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4
3,0:13:40,0:20:34,0:06:54,8.576,8.416,0.16,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4
4,0:23:21,0:34:47,0:11:26,8.562,8.447,0.115,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4
5,0:41:08,0:45:55,0:04:47,8.48,8.356,0.124,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4
6,0:51:36,0:57:15,0:05:39,8.369,8.257,0.112,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4
1,0:23:00,0:27:15,0:04:15,8.471,8.342,0.129,6/1/25,3,RCC00042_bucket_e3v810a-20250601T101913-111914.mp4
2,0:40:10,0:41:52,0:01:42,8.399,8.223,0.176,6/1/25,3,RCC00042_bucket_e3v810a-20250601T101913-111914.mp4
3,0:51:49,0:54:55,0:03:06,8.525,8.417,0.108,6/1/25,3,RCC00042_bucket_e3v810a-20250601T101913-111914.mp4
4,0:08:44,0:12:37,0:03:53,8.53,8.446,0.084,6/1/25,3,RCC00042_bucket_e3v810a-20250601T111914-121915.mp4
5,0:23:41,0:27:29,0:03:48,8.511,8.357,0.154,6/1/25,3,RCC00042_bucket_e3v810a-20250601T111914-121915.mp4
6,0:40:07,0:47:02,0:06:55,8.435,8.256,0.179,6/1/25,3,RCC00042_bucket_e3v810a-20250601T111914-121915.mp4
1,0:55:06,1:01:38,0:06:32,8.502,8.34,0.162,6/2/25,4,RCC00042_bucket_e3v810a-20250602T081928-091929.mp4
2,0:11:29,0:17:41,0:06:12,8.381,8.221,0.16,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4
3,0:24:37,0:27:45,0:03:08,8.553,8.416,0.137,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4
4,0:35:05,0:38:15,0:03:10,8.559,8.445,0.114,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4
5,0:46:12,0:48:13,0:02:01,8.454,8.356,0.098,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4
6,0:58:23,1:01:55,0:03:32,8.419,8.255,0.164,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4
