trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:06:44,8:30:49,0:30:00,8.664,8.479,0.185,6/11/25,0,RCC00045_bucket_e3v810a-20250611T164954-174954.mp4
1,0:40:30,0:47:33,0:07:03,8.432,8.341,0.091,6/13/25,1,RCC00045_bucket_e3v810a-20250613T085430-095431.mp4
2,0:51:36,Failed,0:30:00,8.363,8.227,0.136,6/13/25,1,RCC00045_bucket_e3v810a-20250613T085430-095431.mp4
3,0:25:26,Failed,0:30:00,8.538,8.417,0.121,6/13/25,1,RCC00045_bucket_e3v810a-20250613T095431-105431.mp4
4,0:55:34,Failed,0:30:00,8.557,8.445,0.112,6/13/25,1,RCC00045_bucket_e3v810a-20250613T095431-105431.mp4
5,0:32:17,Failed,0:30:00,8.525,8.357,0.168,6/13/25,1,RCC00045_bucket_e3v810a-20250613T105431-115432.mp4
6,0:19:07,Failed,0:30:00,8.419,8.254,0.165,6/13/25,1,RCC00045_bucket_e3v810a-20250613T115432-125433.mp4
1,0:10:49,Failed,0:30:00,8.24,8.055,0.185,6/14/25,2,RCC00045_bucket_e3v810a-20250614T092920-102921.mp4
2,0:43:40,Failed,0:30:00,8.267,8.143,0.124,6/14/25,2,RCC00045_bucket_e3v810a-20250614T092920-102921.mp4
3,0:17:34,Failed,0:30:00,8.236,8.084,0.152,6/14/25,2,RCC00045_bucket_e3v810a-20250614T102921-112922.mp4
4,0:47:56,Failed,0:30:00,8.226,8.105,0.121,6/14/25,2,RCC00045_bucket_e3v810a-20250614T102921-112922.mp4
5,0:19:02,Failed,0:30:00,7.968,7.812,0.156,6/14/25,2,RCC00045_bucket_e3v810a-20250614T112922-122923.mp4
6,0:49:45,Failed,0:30:00,7.365,7.267,0.098,6/14/25,2,RCC00045_bucket_e3v810a-20250614T112922-122923.mp4
1,0:38:58,Failed,0:30:00,,,0,6/15/25,3,RCC00045_bucket_e3v810a-20250615T092941-102941.mp4
2,0:25:29,Failed,0:30:00,,,0,6/15/25,3,RCC00045_bucket_e3v810a-20250615T102941-112942.mp4
3,0:58:55,Failed,0:30:00,,,0,6/15/25,3,RCC00045_bucket_e3v810a-20250615T102941-112942.mp4
4,0:43:15,Failed,0:30:00,,,0,6/15/25,3,RCC00045_bucket_e3v810a-20250615T112942-122943.mp4
5,0:13:33,Failed,0:30:00,,,0,6/15/25,3,RCC00045_bucket_e3v810a-20250615T122943-132944.mp4
6,0:45:13,Failed,0:30:00,,,0,6/15/25,3,RCC00045_bucket_e3v810a-20250615T122943-132944.mp4
1,0:45:20,Failed,0:30:00,,,0,6/16/25,4,RCC00045_bucket_e3v810a-20250616T082958-092959.mp4
2,0:23:27,Failed,0:30:00,,,0,6/16/25,4,RCC00045_bucket_e3v810a-20250616T092959-102959.mp4
3,0:00:07,Failed,0:30:00,,,0,6/16/25,4,RCC00045_bucket_e3v810a-20250616T102959-113000.mp4
4,0:36:18,Failed,0:30:00,,,0,6/16/25,4,RCC00045_bucket_e3v810a-20250616T102959-113000.mp4
5,0:33:01,Failed,0:30:00,,,0,6/16/25,4,RCC00045_bucket_e3v810a-20250616T113000-123001.mp4
6,0:05:00,Failed,0:30:00,,,0,6/16/25,4,RCC00045_bucket_e3v810a-20250616T123001-133001.mp4
