trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:13:26,3:07:21,2:53:55,8.44,8.24,0.2,11/14/25,0,RCC00083_bucket_e3v810a-20251114T164800-174800.mp4
1,0:35:34,1:00:25,0:24:51,8.21,8.08,0.13,11/16/25,1,RCC00083_bucket_e3v810a-20251116T083623-093624.mp4
2,0:05:26,0:19:11,0:13:45,8.31,8.15,0.16,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4
3,0:25:55,0:33:20,0:07:25,8.24,8.11,0.13,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4
4,0:41:01,0:42:09,0:01:08,8.28,8.14,0.14,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4
5,0:48:12,0:49:08,0:00:56,7.94,7.85,0.09,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4
6,0:56:20,0:58:21,0:02:01,8.02,7.9,0.12,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4
1,0:17:42,0:21:08,0:03:26,8.28,8.09,0.19,11/17/25,2,RCC00083_bucket_e3v810a-20251117T083643-093643.mp4
2,0:28:08,0:29:06,0:00:58,8.33,8.15,0.18,11/17/25,2,RCC00083_bucket_e3v810a-20251117T083643-093643.mp4
3,0:38:12,0:39:22,0:01:10,8.28,8.13,0.15,11/17/25,2,RCC00083_bucket_e3v810a-20251117T083643-093643.mp4
4,0:48:22,0:48:59,0:00:37,8.28,8.14,0.14,11/17/25,2,RCC00083_bucket_e3v810a-20251117T083643-093643.mp4
5,0:00:01,0:00:33,0:00:32,7.96,7.84,0.12,11/17/25,2,RCC00083_bucket_e3v810a-20251117T093643-103644.mp4
6,0:09:53,0:10:29,0:00:36,8.08,7.91,0.17,11/17/25,2,RCC00083_bucket_e3v810a-20251117T093643-103644.mp4
1,0:19:54,0:22:06,0:02:12,8.24,8.036,0.204,11/18/25,3,RCC00083_bucket_e3v810a-20251118T085646-095647.mp4
2,0:30:26,0:31:01,0:00:35,8.345,8.124,0.221,11/18/25,3,RCC00083_bucket_e3v810a-20251118T085646-095647.mp4
3,0:42:10,0:42:23,0:00:13,8.253,8.077,0.176,11/18/25,3,RCC00083_bucket_e3v810a-20251118T085646-095647.mp4
4,0:52:07,0:52:33,0:00:26,8.356,8.107,0.249,11/18/25,3,RCC00083_bucket_e3v810a-20251118T085646-095647.mp4
5,0:03:46,0:04:28,0:00:42,8.086,7.815,0.271,11/18/25,3,RCC00083_bucket_e3v810a-20251118T095647-105648.mp4
6,0:22:22,0:22:49,0:00:27,8.042,7.861,0.181,11/18/25,3,RCC00083_bucket_e3v810a-20251118T095647-105648.mp4
1,0:11:25,0:12:18,0:00:53,8.287,8.036,0.251,11/19/25,4,RCC00083_bucket_e3v810a-20251119T085709-095709.mp4
2,0:21:31,0:21:58,0:00:27,8.377,8.127,0.25,11/19/25,4,RCC00083_bucket_e3v810a-20251119T085709-095709.mp4
3,0:31:03,0:31:45,0:00:42,8.313,8.075,0.238,11/19/25,4,RCC00083_bucket_e3v810a-20251119T085709-095709.mp4
4,0:41:22,0:42:37,0:01:15,8.41,8.108,0.302,11/19/25,4,RCC00083_bucket_e3v810a-20251119T085709-095709.mp4
5,0:51:08,0:51:30,0:00:22,8.005,7.817,0.188,11/19/25,4,RCC00083_bucket_e3v810a-20251119T085709-095709.mp4
6,0:02:53,0:03:12,0:00:19,8.051,7.86,0.191,11/19/25,4,RCC00083_bucket_e3v810a-20251119T095709-105710.mp4
