trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:21:28,2:48:50,2:27:22,8.497,8.343,0.154,1/26/26,77,RCC00095_bucket_e3v810a-20260126T170409-180409.mp4
1,0:43:10,0:45:56,0:02:46,8.49,8.343,0.147,1/28/26,79,RCC00095_bucket_e3v810a-20260128T085645-095645.mp4
2,0:55:00,1:00:08,0:05:08,8.416,8.222,0.194,1/28/26,79,RCC00095_bucket_e3v810a-20260128T085645-095645.mp4
3,0:09:38,0:12:04,0:02:26,8.592,8.419,0.173,1/28/26,79,RCC00095_bucket_e3v810a-20260128T095645-105646.mp4
4,0:21:51,0:23:49,0:01:58,8.693,8.447,0.246,1/28/26,79,RCC00095_bucket_e3v810a-20260128T095645-105646.mp4
5,0:33:33,0:36:10,0:02:37,8.56,8.358,0.202,1/28/26,79,RCC00095_bucket_e3v810a-20260128T095645-105646.mp4
6,0:45:57,0:47:50,0:01:53,8.418,8.258,0.16,1/28/26,79,RCC00095_bucket_e3v810a-20260128T095645-105646.mp4
1,0:43:01,0:44:21,0:01:20,8.566,8.344,0.222,1/29/26,80,RCC00095_bucket_e3v810a-20260129T084431-094431.mp4
2,0:56:02,0:56:36,0:00:34,8.58,8.419,0.161,1/29/26,80,RCC00095_bucket_e3v810a-20260129T084431-094431.mp4
3,0:07:19,0:08:13,0:00:54,8.358,8.223,0.135,1/29/26,80,RCC00095_bucket_e3v810a-20260129T094431-104432.mp4
4,0:18:07,0:19:08,0:01:01,8.701,8.448,0.253,1/29/26,80,RCC00095_bucket_e3v810a-20260129T094431-104432.mp4
5,0:28:46,0:29:53,0:01:07,8.536,8.359,0.177,1/29/26,80,RCC00095_bucket_e3v810a-20260129T094431-104432.mp4
6,0:40:34,0:41:18,0:00:44,8.366,8.258,0.108,1/29/26,80,RCC00095_bucket_e3v810a-20260129T094431-104432.mp4
1,0:00:14,0:01:06,0:00:52,8.471,8.342,0.129,1/30/26,81,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4
2,0:12:15,0:12:46,0:00:31,8.412,8.223,0.189,1/30/26,81,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4
3,0:25:29,0:26:01,0:00:32,8.578,8.419,0.159,1/30/26,81,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4
4,0:37:00,0:37:23,0:00:23,8.569,8.447,0.122,1/30/26,81,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4
5,0:49:02,0:49:22,0:00:20,8.564,8.359,0.205,1/30/26,81,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4
6,0:59:38,1:00:01,0:00:23,8.447,8.258,0.189,1/30/26,81,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4
1,0:18:44,0:19:09,0:00:25,8.48,8.346,0.134,1/31/26,82,RCC00095_bucket_e3v810a-20260131T102435-112435.mp4
2,0:33:02,0:33:31,0:00:29,8.362,8.223,0.139,1/31/26,82,RCC00095_bucket_e3v810a-20260131T102435-112435.mp4
3,0:54:01,0:54:37,0:00:36,8.608,8.419,0.189,1/31/26,82,RCC00095_bucket_e3v810a-20260131T102435-112435.mp4
4,0:08:31,0:08:52,0:00:21,8.689,8.447,0.242,1/31/26,82,RCC00095_bucket_e3v810a-20260131T112435-122436.mp4
5,0:21:04,0:21:23,0:00:19,8.515,8.358,0.157,1/31/26,82,RCC00095_bucket_e3v810a-20260131T112435-122436.mp4
6,0:33:35,0:33:50,0:00:15,8.383,8.259,0.124,1/31/26,82,RCC00095_bucket_e3v810a-20260131T112435-122436.mp4
