trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
1,17:32:01,0:25:41,43,Y,0.151,7/28/25,0,RCC00052_bucket_e3v810a-20250728T170621-180622.mp4,17:06:21,Low,
1,9:14:35,0:13:42,48,Y,0.138,7/22/25,1,RCC00052_bucket_e3v810a-20250730T090054-100055.mp4,9:00:54,Mid,
2,9:29:25,0:28:32,30,Y,0.09,7/22/25,1,RCC00052_bucket_e3v810a-20250730T090054-100055.mp4,9:00:54,Mid,Headless roach on 9:30:05???
3,9:53:07,0:52:14,17,Y,0.101,7/22/25,1,RCC00052_bucket_e3v810a-20250730T090054-100055.mp4,9:00:54,Mid,
4,10:08:24,0:07:31,36,Y,0.168,7/22/25,1,RCC00052_bucket_e3v810a-20250730T100055-110056.mp4,10:00:55,Mid,
5,10:42:16,0:41:22,35,Y,0.098,7/22/25,1,RCC00052_bucket_e3v810a-20250730T100055-110056.mp4,10:00:55,Mid,
6,10:55:42,0:54:48,17,Y,0.162,7/22/25,1,RCC00052_bucket_e3v810a-20250730T100055-110056.mp4,10:00:55,Mid,
1,9:10:21,0:09:09,19,Y,0.152,7/23/25,2,RCC00052_bucket_e3v810a-20250731T090114-100115.mp4,9:01:14,High,
2,9:39:56,0:38:43,13,Y,0.188,7/23/25,2,RCC00052_bucket_e3v810a-20250731T090114-100115.mp4,9:01:14,High,
3,10:09:08,0:07:55,10,Y,0.189,7/23/25,2,RCC00052_bucket_e3v810a-20250731T100115-110115.mp4,10:01:15,High,Headless roach on 10:09:18
4,10:40:09,0:38:56,8,Y,0.097,7/23/25,2,RCC00052_bucket_e3v810a-20250731T100115-110115.mp4,10:01:15,Low,Mouse caught it without much struggle. Don't know exactly when roach died.
5,11:09:36,0:08:23,7,Y,0.151,7/23/25,2,RCC00052_bucket_e3v810a-20250731T110115-120116.mp4,11:01:15,High,
6,11:46:36,0:45:23,14,Y,0.192,7/23/25,2,RCC00052_bucket_e3v810a-20250731T110115-120116.mp4,11:01:15,Low,"Roach lost head around 11:46:50, not sure. Struggled till 11:47:23"
1,10:14:32,0:17:16,12,Y,0.167,7/24/25,3,RCC00052_bucket_e3v810a-20250801T095717-105718.mp4,9:57:17,Mid,
2,10:31:49,0:34:34,9,Y,0.189,7/24/25,3,RCC00052_bucket_e3v810a-20250801T095717-105718.mp4,9:57:17,Mid,
3,10:47:55,0:50:39,11,Y,0.135,7/24/25,3,RCC00052_bucket_e3v810a-20250801T095717-105718.mp4,9:57:17,High,
4,10:59:31,0:02:15,10,Y,0.139,7/24/25,3,RCC00052_bucket_e3v810a-20250801T105718-115719.mp4,10:57:18,High,
5,11:15:22,0:18:06,6,Y,0.238,7/24/25,3,RCC00052_bucket_e3v810a-20250801T105718-115719.mp4,10:57:18,High,
6,11:24:43,0:27:26,11,Y,0.126,7/24/25,3,RCC00052_bucket_e3v810a-20250801T105718-115719.mp4,10:57:18,High,
1,11:46:04,0:10:52,7,Y,0.141,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4,11:35:12,High,
2,11:54:50,0:19:38,10,Y,0.168,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4,11:35:12,High,
3,12:07:59,0:32:48,14,Y,0.155,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4,11:35:12,High,The catch might started later?
4,12:12:52,0:37:40,6,Y,0.157,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4,11:35:12,High,
5,12:16:16,0:51:04,16,Y,0.171,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4,11:35:12,High,
6,12:36:07,0:00:55,14,Y,0.2,7/25/25,4,RCC00052_bucket_e3v810a-20250802T123512-133513.mp4,12:35:12,High,
