trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
1,,Failed Hunt,,N,0.104,5/28/25,0,RCC00042_bucket_e3v810a-20250528T163421-173422.mp4,16:34:21,,
1,,Failed Hunt,,N,0.109,5/30/25,1,RCC00042_bucket_e3v810a-20250530T085858-095858.mp4,9:58:58,,
2,10:18:10,0:19:12,31,Y,0.201,5/30/25,1,RCC00042_bucket_e3v810a-20250530T085858-095858.mp4,9:58:58,Mid,
3,,Failed Hunt,,N,0.104,5/30/25,1,RCC00042_bucket_e3v810a-20250530T085858-095858.mp4,9:58:58,,
4,,Failed Hunt,,N,0.096,5/30/25,1,RCC00042_bucket_e3v810a-20250530T105859-115859.mp4,10:58:59,,
5,,Failed Hunt,,N,0.175,5/30/25,1,RCC00042_bucket_e3v810a-20250530T105859-115859.mp4,10:58:59,,
6,,Failed Hunt,,N,0.158,5/30/25,1,RCC00042_bucket_e3v810a-20250530T115859-125900.mp4,11:58:59,,
1,8:58:28,0:59:11,37,Y,0.147,5/31/25,2,RCC00042_bucket_e3v810a-20250531T075917-085918.mp4,7:59:17,Low,
2,9:08:10,0:08:52,21,Y,0.144,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4,8:59:18,Mid,Might be earlier?
3,9:19:12,0:19:54,21,Y,0.16,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4,8:59:18,Mid,Some roach parts fell off at 9:19:42
4,9:33:46,0:34:28,18,Y,0.115,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4,8:59:18,Mid,
5,9:44:46,0:45:28,18,Y,0.124,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4,8:59:18,Mid,
6,9:56:15,0:56:57,13.5,Y,0.112,5/31/25,2,RCC00042_bucket_e3v810a-20250531T085918-095918.mp4,8:59:18,High,Headless roach at 9:56:29
1,10:45:54,0:26:41,27,Y,0.129,6/1/25,3,RCC00042_bucket_e3v810a-20250601T101913-111914.mp4,10:19:13,High,Headless roach at 10:46:21
2,11:00:55,0:41:42,9,Y,0.176,6/1/25,3,RCC00042_bucket_e3v810a-20250601T101913-111914.mp4,10:19:13,Mid,
3,11:13:55,0:54:42,12,Y,0.108,6/1/25,3,RCC00042_bucket_e3v810a-20250601T101913-111914.mp4,10:19:13,Mid,
4,11:30:51,0:11:37,6.5,Y,0.084,6/1/25,3,RCC00042_bucket_e3v810a-20250601T111914-121915.mp4,11:19:14,High,
5,11:46:33,0:27:19,7,Y,0.154,6/1/25,3,RCC00042_bucket_e3v810a-20250601T111914-121915.mp4,11:19:14,Mid,
6,12:05:24,0:46:10,5,Y,0.179,6/1/25,3,RCC00042_bucket_e3v810a-20250601T111914-121915.mp4,11:19:14,High,Headless roach at 12:05:43
1,9:20:50,0:01:21,6.5,Y,0.162,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4,9:19:29,High,Headless roach at 09:20:57
2,9:36:49,0:17:20,17,Y,0.16,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4,9:19:29,Mid,
3,9:46:43,0:27:14,9,Y,0.137,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4,9:19:29,High,
4,9:57:09,0:37:40,10,Y,0.114,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4,9:19:29,High,
5,10:07:31,0:48:02,5,Y,0.098,6/2/25,4,RCC00042_bucket_e3v810a-20250602T091929-101930.mp4,9:19:29,High,
6,10:21:04,0:01:34,8.5,Y,0.164,6/2/25,4,RCC00042_bucket_e3v810a-20250602T101930-111931.mp4,10:19:30,High,
