trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
1,20:55:05,0:07:02,37,Y,0.2,11/14/25,0,RCC00083_bucket_e3v810a-20251114T204803-214804.mp4,20:48:03,Mid,
1,9:26:40,0:50:17,1.2,N,0.13,11/16/25,1,RCC00083_bucket_e3v810a-20251116T083623-093624.mp4,8:36:23,,
1,9:32:04,0:55:41,0.8,N,0.13,11/16/25,1,RCC00083_bucket_e3v810a-20251116T083623-093624.mp4,8:36:23,,
1,9:35:52,0:59:29,2,N,0.13,11/16/25,1,RCC00083_bucket_e3v810a-20251116T083623-093624.mp4,8:36:23,,
1,9:36:09,0:59:46,0.7,N,0.13,11/16/25,1,RCC00083_bucket_e3v810a-20251116T083623-093624.mp4,8:36:23,,
1,9:36:15,0:59:52,37,Y,0.13,11/16/25,1,RCC00083_bucket_e3v810a-20251116T083623-093624.mp4,8:36:23,Low,Roach under mouse and mouse struggle for a long time. Not confident when the killing happened
2,9:43:00,0:06:36,0.8,N,0.16,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4,9:36:24,,
2,9:53:08,0:16:44,1.2,N,0.16,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4,9:36:24,,
2,9:55:14,0:18:50,26,Y,0.16,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4,9:36:24,Mid,
3,10:09:02,0:32:38,1,N,0.13,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4,9:36:24,,
3,10:09:11,0:32:47,20,Y,0.13,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4,9:36:24,Mid,Could be 5 second-ish earlier
4,10:17:57,0:41:33,1.8,N,0.14,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4,9:36:24,,
4,10:18:05,0:41:41,22,Y,0.14,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4,9:36:24,Low,"After 31 seconds, seen headless roach"
5,10:25:11,0:48:47,17,Y,0.09,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4,9:36:24,High,
6,10:34:12,0:57:48,18,Y,0.12,11/16/25,1,RCC00083_bucket_e3v810a-20251116T093624-103625.mp4,9:36:24,Mid,
1,8:57:06,0:20:23,1.8,N,0.19,11/17/25,2,RCC00083_bucket_e3v810a-20251117T083643-093643.mp4,8:36:43,,
