trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:33:53,6:48:18,6:14:25,8.562,8.352,0.21,1/4/26,0,RCC00094_bucket_e3v810a-20260104T164954-174955.mp4
1,0:17:29,0:45:44,0:28:15,8.489,8.342,0.147,1/6/26,1,RCC00094_bucket_e3v810a-20260106T091248-101248.mp4
2,0:57:40,0:59:27,0:01:47,8.252,8.222,0.03,1/6/26,1,RCC00094_bucket_e3v810a-20260106T091248-101248.mp4
3,0:07:50,0:08:36,0:00:46,8.579,8.42,0.159,1/6/26,1,RCC00094_bucket_e3v810a-20260106T101248-111248.mp4
4,0:17:37,0:18:54,0:01:17,8.555,8.448,0.107,1/6/26,1,RCC00094_bucket_e3v810a-20260106T101248-111248.mp4
5,0:30:26,0:31:08,0:00:42,8.464,8.358,0.106,1/6/26,1,RCC00094_bucket_e3v810a-20260106T101248-111248.mp4
6,0:42:53,0:43:48,0:00:55,8.38,8.258,0.122,1/6/26,1,RCC00094_bucket_e3v810a-20260106T101248-111248.mp4
1,0:57:19,1:00:49,0:03:30,8.522,8.343,0.179,1/7/26,2,RCC00094_bucket_e3v810a-20260107T073233-083234.mp4
2,0:14:19,0:15:16,0:00:57,8.342,8.229,0.113,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4
3,0:25:09,0:25:44,0:00:35,8.57,8.422,0.148,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4
4,0:35:32,0:36:13,0:00:41,8.628,8.454,0.174,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4
5,0:46:27,0:47:12,0:00:45,8.516,8.368,0.148,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4
6,0:57:34,0:58:09,0:00:35,8.402,8.262,0.14,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4
1,0:04:00,0:04:47,0:00:47,8.486,8.343,0.143,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4
2,0:14:09,0:14:46,0:00:37,8.35,8.221,0.129,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4
3,0:24:48,0:25:24,0:00:36,8.55,8.418,0.132,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4
4,0:35:43,0:35:57,0:00:14,8.579,8.444,0.135,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4
5,0:46:22,0:46:44,0:00:22,8.497,8.355,0.142,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4
6,0:57:10,0:58:16,0:01:06,8.467,8.256,0.211,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4
1,0:52:55,0:53:29,0:00:34,8.425,8.345,0.08,1/9/26,4,RCC00094_bucket_e3v810a-20260109T084343-094343.mp4
2,0:04:55,0:05:14,0:00:19,8.318,8.223,0.095,1/9/26,4,RCC00094_bucket_e3v810a-20260109T094343-104343.mp4
3,0:24:08,0:24:24,0:00:16,8.547,8.413,0.134,1/9/26,4,RCC00094_bucket_e3v810a-20260109T094343-104343.mp4
4,0:35:49,0:36:40,0:00:51,8.6,8.439,0.161,1/9/26,4,RCC00094_bucket_e3v810a-20260109T094343-104343.mp4
5,0:47:37,0:48:01,0:00:24,8.442,8.352,0.09,1/9/26,4,RCC00094_bucket_e3v810a-20260109T094343-104343.mp4
6,0:06:39,0:07:01,0:00:22,8.391,8.251,0.14,1/9/26,4,RCC00094_bucket_e3v810a-20260109T104343-114343.mp4
