trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:56:52,1:25:42,0:28:50,8.274,8.123,0.151,7/28/25,0,RCC00052_bucket_e3v810a-20250728T160621-170621.mp4
1,0:12:29,0:14:23,0:01:54,8.171,8.033,0.138,7/22/25,1,RCC00052_bucket_e3v810a-20250730T090054-100055.mp4
2,0:27:03,0:28:40,0:01:37,8.213,8.123,0.09,7/22/25,1,RCC00052_bucket_e3v810a-20250730T090054-100055.mp4
3,0:50:21,0:52:27,0:02:06,8.183,8.082,0.101,7/22/25,1,RCC00052_bucket_e3v810a-20250730T090054-100055.mp4
4,0:06:52,0:08:08,0:01:16,8.273,8.105,0.168,7/22/25,1,RCC00052_bucket_e3v810a-20250730T100055-110056.mp4
5,0:38:21,0:41:45,0:03:24,7.912,7.814,0.098,7/22/25,1,RCC00052_bucket_e3v810a-20250730T100055-110056.mp4
6,0:53:31,0:55:05,0:01:34,7.428,7.266,0.162,7/22/25,1,RCC00052_bucket_e3v810a-20250730T100055-110056.mp4
1,0:08:44,0:09:25,0:00:41,8.187,8.035,0.152,7/23/25,2,RCC00052_bucket_e3v810a-20250731T090114-100115.mp4
2,0:38:00,0:39:12,0:01:12,8.312,8.124,0.188,7/23/25,2,RCC00052_bucket_e3v810a-20250731T090114-100115.mp4
3,0:07:11,0:08:14,0:01:03,8.275,8.086,0.189,7/23/25,2,RCC00052_bucket_e3v810a-20250731T100115-110115.mp4
4,0:37:47,0:39:11,0:01:24,8.205,8.108,0.097,7/23/25,2,RCC00052_bucket_e3v810a-20250731T100115-110115.mp4
5,0:06:45,0:08:42,0:01:57,7.967,7.816,0.151,7/23/25,2,RCC00052_bucket_e3v810a-20250731T110115-120116.mp4
6,0:42:19,0:46:10,0:03:51,7.459,7.267,0.192,7/23/25,2,RCC00052_bucket_e3v810a-20250731T110115-120116.mp4
1,0:15:28,0:17:32,0:02:04,8.201,8.034,0.167,7/24/25,3,RCC00052_bucket_e3v810a-20250801T095717-105718.mp4
2,0:34:04,0:34:43,0:00:39,8.313,8.124,0.189,7/24/25,3,RCC00052_bucket_e3v810a-20250801T095717-105718.mp4
3,0:49:21,0:50:47,0:01:26,8.21,8.075,0.135,7/24/25,3,RCC00052_bucket_e3v810a-20250801T095717-105718.mp4
4,0:01:37,0:02:27,0:00:50,8.243,8.104,0.139,7/24/25,3,RCC00052_bucket_e3v810a-20250801T105718-115719.mp4
5,0:16:53,0:18:20,0:01:27,8.053,7.815,0.238,7/24/25,3,RCC00052_bucket_e3v810a-20250801T105718-115719.mp4
6,0:26:41,0:27:43,0:01:02,7.394,7.268,0.126,7/24/25,3,RCC00052_bucket_e3v810a-20250801T105718-115719.mp4
1,0:10:24,0:11:04,0:00:40,8.176,8.035,0.141,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4
2,0:19:20,0:19:50,0:00:30,8.289,8.121,0.168,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4
3,0:32:22,0:33:04,0:00:42,8.23,8.075,0.155,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4
4,0:37:19,0:37:50,0:00:31,8.262,8.105,0.157,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4
5,0:49:55,0:51:23,0:01:28,7.985,7.814,0.171,7/25/25,4,RCC00052_bucket_e3v810a-20250802T113512-123512.mp4
6,0:00:37,0:01:13,0:00:36,7.468,7.268,0.2,7/25/25,4,RCC00052_bucket_e3v810a-20250802T123512-133513.mp4
