trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
1,6:02:46,0:17:06,37,Y,0.202,2/7/26,0,RCC00098_bucket_e3v810a-20260208T054540-064540.mp4,5:45:40,High,
1,9:32:18,0:46:23,22,Y,0.162,2/9/26,1,RCC00098_bucket_e3v810a-20260209T084555-094555.mp4,8:45:55,Mid,mouse drop the roach wihtout realizing it was dead (no head)
2,9:46:08,0:00:15,18,Y,0.138,2/9/26,1,RCC00098_bucket_e3v810a-20260209T094555-104555.mp4,9:45:55,Mid,start hunt could be later?
3,9:59:01,0:13:06,11,Y,0.167,2/9/26,1,RCC00098_bucket_e3v810a-20260209T094555-104555.mp4,9:45:55,Low,"Headless roach seen at 9:59:12 (13:18), but mouse kept wrestling with it for 6 seconds"
4,10:13:28,0:27:33,36,Y,0.166,2/9/26,1,RCC00098_bucket_e3v810a-20260209T094555-104555.mp4,9:45:55,Low,The start might be much later?
5,10:32:18,0:46:23,9,Y,0.11,2/9/26,1,RCC00098_bucket_e3v810a-20260209T094555-104555.mp4,9:45:55,High,
6,10:46:21,0:00:27,20,Y,0.14,2/9/26,1,RCC00098_bucket_e3v810a-20260209T104555-114556.mp4,10:45:55,Mid,Headless roach slipped out at 10:46:32 (0:00:49)
1,9:31:42,0:40:36,16,Y,0.123,2/10/26,2,RCC00098_bucket_e3v810a-20260210T085107-095107.mp4,8:51:07,High,
2,9:43:52,0:52:46,14,Y,0.158,2/10/26,2,RCC00098_bucket_e3v810a-20260210T085107-095107.mp4,8:51:07,Mid,roach might be killed earlier?
3,9:56:22,0:05:16,8,Y,0.248,2/10/26,2,RCC00098_bucket_e3v810a-20260210T095107-105108.mp4,9:51:07,High,
4,10:07:39,0:16:33,13,Y,0.182,2/10/26,2,RCC00098_bucket_e3v810a-20260210T095107-105108.mp4,9:51:07,High,
5,10:21:03,0:29:57,16,Y,0.171,2/10/26,2,RCC00098_bucket_e3v810a-20260210T095107-105108.mp4,9:51:07,High,
6,10:31:33,0:40:27,12,Y,0.206,2/10/26,2,RCC00098_bucket_e3v810a-20260210T095107-105108.mp4,9:51:07,High,headless roach on 10:31:54
1,9:38:51,0:16:53,21,Y,0.185,2/11/26,3,RCC00098_bucket_e3v810a-20260211T092159-102200.mp4,9:21:59,High,
2,9:49:51,0:27:52,8,Y,0.244,2/11/26,3,RCC00098_bucket_e3v810a-20260211T092159-102200.mp4,9:21:59,Mid,Must end by 9:50:06
3,10:03:58,0:42:00,7,Y,0.233,2/11/26,3,RCC00098_bucket_e3v810a-20260211T092159-102200.mp4,9:21:59,Low,The start could be earlier
4,10:18:10,0:56:11,7,Y,0.18,2/11/26,3,RCC00098_bucket_e3v810a-20260211T092159-102200.mp4,9:21:59,High,
5,10:31:42,0:09:42,12,Y,0.187,2/11/26,3,RCC00098_bucket_e3v810a-20260211T102200-112200.mp4,10:22:00,Mid,Not sure when it ended
6,10:49:26,0:27:27,18,Y,0.209,2/11/26,3,RCC00098_bucket_e3v810a-20260211T102200-112200.mp4,10:22:00,Mid,
1,9:19:32,0:57:22,8,Y,0.247,2/12/26,4,RCC00098_bucket_e3v810a-20260212T082211-092212.mp4,8:22:12,High,
2,9:30:47,0:08:36,6,Y,0.13,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4,9:22:12,High,
3,9:41:02,0:18:51,6.5,Y,0.205,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4,9:22:12,High,
4,9:51:53,0:29:42,8,Y,0.228,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4,9:22:12,High,
5,10:03:51,0:41:41,9,Y,0.193,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4,9:22:12,High,
6,10:15:15,0:53:04,7,Y,0.229,2/12/26,4,RCC00098_bucket_e3v810a-20260212T092212-102212.mp4,9:22:12,High,
