trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:42:30,Escape,0:30:00,8.243,8.03,0.213,9/9/25,0,RCC00058_bucket_e3v810a-20250909T161115-171115.mp4
1,0:02:10,Failed,0:30:00,8.487,8.34,0.147,9/11/25,1,RCC00058_bucket_e3v810a-20250911T104347-114348.mp4
2,0:32:28,Failed,0:30:00,8.435,8.221,0.214,9/11/25,1,RCC00058_bucket_e3v810a-20250911T104347-114348.mp4
3,0:05:50,Failed,0:30:00,8.587,8.418,0.169,9/11/25,1,RCC00058_bucket_e3v810a-20250911T114348-124348.mp4
4,0:34:23,Failed,0:30:00,8.702,8.446,0.256,9/11/25,1,RCC00058_bucket_e3v810a-20250911T114348-124348.mp4
5,0:18:35,Failed,0:30:00,8.539,8.356,0.183,9/11/25,1,RCC00058_bucket_e3v810a-20250911T124348-134349.mp4
6,0:19:45,Failed,0:30:00,8.414,8.255,0.159,9/11/25,1,RCC00058_bucket_e3v810a-20250911T134349-143335.mp4
1,0:59:13,Failed,0:30:00,8.217,8.033,0.184,9/12/25,2,RCC00058_bucket_e3v810a-20250912T093735-103736.mp4
2,0:39:19,Failed,0:30:00,8.329,8.123,0.206,9/12/25,2,RCC00058_bucket_e3v810a-20250912T103736-113737.mp4
3,0:11:15,Failed,0:30:00,8.256,8.076,0.18,9/12/25,2,RCC00058_bucket_e3v810a-20250912T113737-123738.mp4
4,0:57:36,Failed,0:30:00,8.323,8.104,0.219,9/12/25,2,RCC00058_bucket_e3v810a-20250912T113737-123738.mp4
5,0:42:39,Failed,0:30:00,8,7.814,0.186,9/12/25,2,RCC00058_bucket_e3v810a-20250912T123738-133739.mp4
6,0:15:59,Failed,0:30:00,7.425,7.269,0.156,9/12/25,2,RCC00058_bucket_e3v810a-20250912T133739-143739.mp4
1,0:05:47,Failed,0:30:00,8.231,8.031,0.2,9/13/25,3,RCC00058_bucket_e3v810a-20250913T162021-172022.mp4
2,0:38:38,Failed,0:30:00,8.229,8.119,0.11,9/13/25,3,RCC00058_bucket_e3v810a-20250913T162021-172022.mp4
3,0:11:52,Failed,0:30:00,8.276,8.07,0.206,9/13/25,3,RCC00058_bucket_e3v810a-20250913T172022-182023.mp4
4,0:56:44,Failed,0:30:00,8.265,8.101,0.164,9/13/25,3,RCC00058_bucket_e3v810a-20250913T172022-182023.mp4
5,0:27:46,Failed,0:30:00,7.999,7.807,0.192,9/13/25,3,RCC00058_bucket_e3v810a-20250913T182023-192024.mp4
6,0:57:44,Failed,0:30:00,7.438,7.261,0.177,9/13/25,3,RCC00058_bucket_e3v810a-20250913T182023-192024.mp4
1,0:26:56,Failed,0:30:00,8.238,8.034,0.204,9/14/25,4,RCC00058_bucket_e3v810a-20250914T091505-101506.mp4
2,0:10:46,Failed,0:30:00,8.245,8.123,0.122,9/14/25,4,RCC00058_bucket_e3v810a-20250914T101506-111507.mp4
3,0:41:37,Failed,0:30:00,8.309,8.076,0.233,9/14/25,4,RCC00058_bucket_e3v810a-20250914T101506-111507.mp4
4,0:17:29,Failed,0:30:00,8.266,8.105,0.161,9/14/25,4,RCC00058_bucket_e3v810a-20250914T111507-121507.mp4
5,0:51:55,Failed,0:30:00,8.025,7.815,0.21,9/14/25,4,RCC00058_bucket_e3v810a-20250914T111507-121507.mp4
6,0:46:14,Failed,0:30:00,7.467,7.267,0.2,9/14/25,4,RCC00058_bucket_e3v810a-20250914T121507-131507.mp4
