trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:42:58,Failed,0:30:00,8.234,8.033,0.201,9/18/25,0,RCC00059_bucket_e3v810a-20250918T162953-172953.mp4
1,0:00:41,0:05:23,0:04:42,8.213,8.034,0.179,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4
2,0:14:47,0:20:49,0:06:02,8.309,8.126,0.183,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4
3,0:31:26,0:33:39,0:02:13,8.249,8.079,0.17,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4
4,0:49:35,1:06:43,0:17:08,8.258,8.109,0.149,9/20/25,1,RCC00059_bucket_e3v810a-20250920T093117-103117.mp4
5,0:14:42,Failed,0:30:00,8.004,7.812,0.192,9/20/25,1,RCC00059_bucket_e3v810a-20250920T103117-113118.mp4
6,0:54:45,Failed,0:30:00,7.446,7.266,0.18,9/20/25,1,RCC00059_bucket_e3v810a-20250920T103117-113118.mp4
1,0:03:16,0:05:01,0:01:45,8.246,8.034,0.212,9/21/25,2,RCC00059_bucket_e3v810a-20250921T093135-103136.mp4
2,0:16:26,0:21:39,0:05:13,8.307,8.123,0.184,9/21/25,2,RCC00059_bucket_e3v810a-20250921T093135-103136.mp4
3,0:30:23,0:38:27,0:08:04,8.284,8.077,0.207,9/21/25,2,RCC00059_bucket_e3v810a-20250921T093135-103136.mp4
4,0:54:46,0:58:47,0:04:01,8.297,8.105,0.192,9/21/25,2,RCC00059_bucket_e3v810a-20250921T093135-103136.mp4
5,0:10:07,Failed,0:30:00,7.97,7.815,0.155,9/21/25,2,RCC00059_bucket_e3v810a-20250921T103136-113137.mp4
6,0:18:53,0:21:03,0:02:10,7.473,7.265,0.208,9/21/25,2,RCC00059_bucket_e3v810a-20250921T113137-123138.mp4
1,0:47:00,0:49:44,0:02:44,8.231,8.036,0.195,9/22/25,3,RCC00059_bucket_e3v810a-20250922T085706-095706.mp4
2,0:11:23,0:13:17,0:01:54,8.294,8.124,0.17,9/22/25,3,RCC00059_bucket_e3v810a-20250922T095706-105707.mp4
3,0:27:00,0:28:21,0:01:21,8.185,8.077,0.108,9/22/25,3,RCC00059_bucket_e3v810a-20250922T095706-105707.mp4
4,0:41:59,0:45:29,0:03:30,8.311,8.107,0.204,9/22/25,3,RCC00059_bucket_e3v810a-20250922T095706-105707.mp4
5,0:59:54,1:24:55,0:25:01,8.037,7.815,0.222,9/22/25,3,RCC00059_bucket_e3v810a-20250922T095706-105707.mp4
6,0:43:08,Failed,0:30:00,8.084,7.928,0.156,9/22/25,3,RCC00059_bucket_e3v810a-20250922T105707-115709.mp4
1,0:42:11,0:44:05,0:01:54,8.182,8.036,0.146,9/23/25,4,RCC00059_bucket_e3v810a-20250923T085723-095723.mp4
2,0:07:42,0:09:05,0:01:23,8.334,8.121,0.213,9/23/25,4,RCC00059_bucket_e3v810a-20250923T095723-105724.mp4
3,0:22:28,0:24:21,0:01:53,8.266,8.072,0.194,9/23/25,4,RCC00059_bucket_e3v810a-20250923T095723-105724.mp4
4,0:37:30,0:39:23,0:01:53,8.315,8.106,0.209,9/23/25,4,RCC00059_bucket_e3v810a-20250923T095723-105724.mp4
5,0:02:07,0:05:11,0:03:04,7.959,7.813,0.146,9/23/25,4,RCC00059_bucket_e3v810a-20250923T105724-115725.mp4
6,0:19:23,0:23:53,0:04:30,8.09,7.862,0.228,9/23/25,4,RCC00059_bucket_e3v810a-20250923T105724-115725.mp4
