trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
1,23:36:31,0:46:35,43,Y,0.21,1/4/26,0,RCC00094_bucket_e3v810a-20260104T224956-234957.mp4,22:49:56,Mid,Took 3-4 attempts in 5 mintues
1,9:57:57,0:45:09,35,Y,0.147,1/6/26,1,RCC00094_bucket_e3v810a-20260106T091248-101248.mp4,9:12:48,High,"Mouse bite the head off, but only eat the head half of the roach"
2,10:11:50,0:59:02,25,Y,0.03,1/6/26,1,RCC00094_bucket_e3v810a-20260106T091248-101248.mp4,9:12:48,High,
3,10:21:03,0:08:15,21,Y,0.159,1/6/26,1,RCC00094_bucket_e3v810a-20260106T101248-111248.mp4,10:12:48,Mid,
4,10:31:25,0:18:37,19,Y,0.107,1/6/26,1,RCC00094_bucket_e3v810a-20260106T101248-111248.mp4,10:12:48,Mid,a roach leg was thrown out on 10:31:38?
5,10:43:44,0:30:56,14,Y,0.106,1/6/26,1,RCC00094_bucket_e3v810a-20260106T101248-111248.mp4,10:12:48,Low,Maybe roach dead at 10:43:58?
6,10:56:24,0:43:36,12,Y,0.122,1/6/26,1,RCC00094_bucket_e3v810a-20260106T101248-111248.mp4,10:12:48,Mid,
1,8:33:10,0:00:36,13,Y,0.179,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4,8:32:34,Low,headless roach on 08:33:23?
2,8:47:33,0:14:59,17,Y,0.113,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4,8:32:34,High,
3,8:58:02,0:25:28,16,Y,0.148,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4,8:32:34,High,
4,9:08:42,0:36:08,5.5,Y,0.174,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4,8:32:34,High,
5,9:19:35,0:47:01,11,Y,0.148,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4,8:32:34,High,roach parts fell out on 9:19:46
6,9:30:19,0:57:45,22,Y,0.14,1/7/26,2,RCC00094_bucket_e3v810a-20260107T083234-093235.mp4,8:32:34,High,Wrestled with the roach for a while
1,8:48:01,15:20:34,11,Y,0.143,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4,8:43:26,Mid,
2,8:58:02,0:14:36,9,Y,0.129,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4,8:43:26,Mid,
3,9:08:38,0:25:12,12,Y,0.132,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4,8:43:26,MId,
4,9:19:13,0:35:47,9,Y,0.135,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4,8:43:26,High,
5,9:29:55,0:46:29,13,Y,0.142,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4,8:43:26,High,Headless roach crawled for a while
6,9:41:21,0:57:55,21,Y,0.211,1/8/26,3,RCC00094_bucket_e3v810a-20260108T084326-094326.mp4,8:43:26,High,roach parts thrown out 09:41:42
1,9:37:01,0:53:18,10,Y,0.08,1/9/26,4,RCC00094_bucket_e3v810a-20260109T084343-094343.mp4,8:43:43,High,
2,9:48:52,0:05:09,5,Y,0.095,1/9/26,4,RCC00094_bucket_e3v810a-20260109T094343-104343.mp4,9:43:43,High,
3,10:07:59,0:24:16,8,Y,0.134,1/9/26,4,RCC00094_bucket_e3v810a-20260109T094343-104343.mp4,9:43:43,High,
4,10:19:54,0:36:11,11,Y,0.161,1/9/26,4,RCC00094_bucket_e3v810a-20260109T094343-104343.mp4,9:43:43,Mid,Failed once. Then success with some struggle
5,10:31:30,0:47:47,14,Y,0.09,1/9/26,4,RCC00094_bucket_e3v810a-20260109T094343-104343.mp4,9:43:43,Mid,
6,10:50:41,0:06:58,2,Y,0.14,1/9/26,4,RCC00094_bucket_e3v810a-20260109T104343-114343.mp4,10:43:43,High,Very fast
