trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:04:48,Failed,0:30:00,8.429,8.262,0.167,7/20/25,0,RCC00053_bucket_e3v810a-20250720T174438-184439.mp4
1,0:12:55,Failed,0:30:00,8.211,8.034,0.177,7/22/25,1,RCC00053_bucket_e3v810a-20250722T103902-113903.mp4
2,0:49:42,Failed,0:30:00,8.25,8.123,0.127,7/22/25,1,RCC00053_bucket_e3v810a-20250722T103902-113903.mp4
3,0:34:55,Failed,0:30:00,8.255,8.082,0.173,7/22/25,1,RCC00053_bucket_e3v810a-20250722T113903-123904.mp4
4,0:07:12,Failed,0:30:00,8.254,8.102,0.152,7/22/25,1,RCC00053_bucket_e3v810a-20250722T123904-133905.mp4
5,0:55:37,Failed,0:30:00,7.959,7.812,0.147,7/22/25,1,RCC00053_bucket_e3v810a-20250722T123904-133905.mp4
6,0:38:13,Failed,0:30:00,7.404,7.264,0.14,7/22/25,1,RCC00053_bucket_e3v810a-20250722T133905-143906.mp4
1,0:42:33,Failed,0:30:00,8.103,8.033,0.07,7/23/25,2,RCC00053_bucket_e3v810a-20250723T091656-101657.mp4
2,0:16:42,Failed,0:30:00,8.236,8.123,0.113,7/23/25,2,RCC00053_bucket_e3v810a-20250723T101657-111658.mp4
3,0:48:31,Failed,0:30:00,8.281,8.082,0.199,7/23/25,2,RCC00053_bucket_e3v810a-20250723T101657-111658.mp4
4,0:28:34,Failed,0:30:00,8.228,8.104,0.124,7/23/25,2,RCC00053_bucket_e3v810a-20250723T111658-121659.mp4
5,0:04:53,Failed,0:30:00,7.992,7.814,0.178,7/23/25,2,RCC00053_bucket_e3v810a-20250723T121659-131700.mp4
1,0:59:08,Failed,0:30:00,8.155,8.032,0.123,7/24/25,3,RCC00053_bucket_e3v810a-20250724T091718-101718.mp4
2,0:58:52,Failed,0:30:00,8.263,8.124,0.139,7/24/25,3,RCC00053_bucket_e3v810a-20250724T101718-111719.mp4
3,0:29:17,Failed,0:30:00,8.184,8.083,0.101,7/24/25,3,RCC00053_bucket_e3v810a-20250724T111719-121720.mp4
4,0:14:30,Failed,0:30:00,8.214,8.106,0.108,7/24/25,3,RCC00053_bucket_e3v810a-20250724T121720-131721.mp4
5,0:45:21,Failed,0:30:00,8.004,7.815,0.189,7/24/25,3,RCC00053_bucket_e3v810a-20250724T121720-131721.mp4
6,0:29:06,Failed,0:30:00,7.423,7.266,0.157,7/24/25,3,RCC00053_bucket_e3v810a-20250724T131721-141721.mp4
1,0:07:24,Failed,0:30:00,8.189,8.033,0.156,7/25/25,4,RCC00053_bucket_e3v810a-20250725T101737-111738.mp4
2,0:46:23,Failed,0:30:00,8.261,8.121,0.14,7/25/25,4,RCC00053_bucket_e3v810a-20250725T101737-111738.mp4
3,0:19:01,Failed,0:30:00,8.198,8.084,0.114,7/25/25,4,RCC00053_bucket_e3v810a-20250725T111738-121739.mp4
4,0:37:12,Failed,0:30:00,8.006,7.814,0.192,7/25/25,4,RCC00053_bucket_e3v810a-20250725T121739-131740.mp4
5,0:38:26,Failed,0:30:00,7.394,7.267,0.127,7/25/25,4,RCC00053_bucket_e3v810a-20250725T131740-141741.mp4
