trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
1,19:52:23,0:48:13,34,Y,0.21,1/26/26,0,RCC00095_bucket_e3v810a-20260126T190410-200410.mp4,19:04:10,Mid,"quick, precise 1 shot; Maybe the roach is killed at 28 seconds? Not Sure"
1,9:42:09,0:45:24,32,Y,0.147,1/28/26,1,RCC00095_bucket_e3v810a-20260128T085645-095645.mp4,8:56:45,Mid,
2,9:56:34,0:59:49,20,Y,0.194,1/28/26,1,RCC00095_bucket_e3v810a-20260128T085645-095645.mp4,8:56:45,Mid,The start time is ambiguous. The end time is clear (roach parts flew out)
3,10:08:25,0:11:40,24,Y,0.173,1/28/26,1,RCC00095_bucket_e3v810a-20260128T095645-105646.mp4,9:56:45,High,
4,10:20:17,0:23:32,15,Y,0.246,1/28/26,1,RCC00095_bucket_e3v810a-20260128T095645-105646.mp4,9:56:45,High,
5,10:32:38,0:35:53,17,Y,0.202,1/28/26,1,RCC00095_bucket_e3v810a-20260128T095645-105646.mp4,9:56:45,High,
6,10:44:17,0:47:35,16,Y,0.16,1/28/26,1,RCC00095_bucket_e3v810a-20260128T095645-105646.mp4,9:56:45,Low,do not know when hunting ends
1,9:28:31,0:44:03,18,Y,0.222,1/29/26,2,RCC00095_bucket_e3v810a-20260129T084431-094431.mp4,8:44:31,High,the video is weird (0:44:04 actually is 9:28:32)
2,9:40:53,0:56:24,12,Y,0.161,1/29/26,2,RCC00095_bucket_e3v810a-20260129T084431-094431.mp4,8:44:31,High,
3,9:52:24,0:07:53,20,Y,0.135,1/29/26,2,RCC00095_bucket_e3v810a-20260129T094431-104432.mp4,9:44:31,Mid,throw down headless (?) roach at 9:52:44
4,10:03:24,0:18:56,12,Y,0.253,1/29/26,2,RCC00095_bucket_e3v810a-20260129T094431-104432.mp4,9:44:31,High,
5,10:14:12,0:29:41,9,Y,0.177,1/29/26,2,RCC00095_bucket_e3v810a-20260129T094431-104432.mp4,9:44:31,High,
6,10:25:39,0:41:08,7,Y,0.108,1/29/26,2,RCC00095_bucket_e3v810a-20260129T094431-104432.mp4,9:44:31,high,the video is weird (0:41:18 actually is 10:25:46)
1,9:45:38,0:00:54,10,Y,0.129,1/30/26,3,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4,9:44:44,High,
2,9:57:16,0:12:32,14,Y,0.189,1/30/26,3,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4,9:44:44,Mid,
3,10:10:36,0:25:52,7,Y,0.159,1/30/26,3,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4,9:44:44,High,
4,10:21:57,0:37:13,7,Y,0.122,1/30/26,3,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4,9:44:44,High,
5,10:33:53,0:49:09,7,Y,0.205,1/30/26,3,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4,9:44:44,Mid,
6,10:44:30,0:59:49,12,Y,0.189,1/30/26,3,RCC00095_bucket_e3v810a-20260130T094444-104445.mp4,9:44:44,Mid,
1,10:43:37,0:19:04,5,Y,0.134,1/31/26,4,RCC00095_bucket_e3v810a-20260131T102435-112435.mp4,10:24:35,High,The watchtower video is off by 2 seconds
2,10:57:52,0:33:19,12,Y,0.139,1/31/26,4,RCC00095_bucket_e3v810a-20260131T102435-112435.mp4,10:24:35,Mid,
3,11:18:57,0:54:25,11,Y,0.189,1/31/26,4,RCC00095_bucket_e3v810a-20260131T102435-112435.mp4,10:24:35,Mid,"The head-lifting motion came ~4 seconds later, could be shorter duration"
4,11:33:25,0:08:52,7,Y,0.242,1/31/26,4,RCC00095_bucket_e3v810a-20260131T112435-122436.mp4,11:24:35,High,
5,11:45:46,0:21:13,10,Y,0.157,1/31/26,4,RCC00095_bucket_e3v810a-20260131T112435-122436.mp4,11:24:35,High,
6,11:58:12,0:33:39,11,Y,0.124,1/31/26,4,RCC00095_bucket_e3v810a-20260131T112435-122436.mp4,11:24:35,Mid,
