trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
1,17:06:50,0:29:45,49,Y,0.083,5/20/25,0,RCC00036_bucket_e3v810a-20250520T163706-173706.mp4,16:37:06,Low,"At 15 second, mouse threw out a roach with part of head bited off."
1,9:25:49,0:48:13,1.6,N,0.129,5/22/25,1,RCC00036_bucket_e3v810a-20250522T083736-093737.mp4,8:37:36,,
1,9:26:04,0:48:28,2.8,N,0.129,5/22/25,1,RCC00036_bucket_e3v810a-20250522T083736-093737.mp4,8:37:36,,
1,9:26:15,0:48:39,15,N,0.129,5/22/25,1,RCC00036_bucket_e3v810a-20250522T083736-093737.mp4,8:37:36,,
1,9:26:41,0:49:05,2.4,N,0.129,5/22/25,1,RCC00036_bucket_e3v810a-20250522T083736-093737.mp4,8:37:36,,
1,9:26:49,0:49:13,20,N,0.129,5/22/25,1,RCC00036_bucket_e3v810a-20250522T083736-093737.mp4,8:37:36,,
1,9:27:11,0:49:35,50,Y,0.129,5/22/25,1,RCC00036_bucket_e3v810a-20250522T083736-093737.mp4,8:37:36,Low,"roach got thrown a bunch, not clear whether legs are chewed off in the middle"
2,,Failed Hunt,,,0.165,5/22/25,1,RCC00036_bucket_e3v810a-20250522T093737-103737.mp4,9:37:37,,
3,,Failed Hunt,,,0.183,5/22/25,1,RCC00036_bucket_e3v810a-20250522T093737-103737.mp4,9:37:37,,
4,10:50:47,0:13:10,1.9,N,0.137,5/22/25,1,RCC00036_bucket_e3v810a-20250522T103737-113738.mp4,10:37:37,,
4,10:51:04,0:13:27,2,N,0.137,5/22/25,1,RCC00036_bucket_e3v810a-20250522T103737-113738.mp4,10:37:37,,
4,10:52:44,0:15:07,1.6,N,0.137,5/22/25,1,RCC00036_bucket_e3v810a-20250522T103737-113738.mp4,10:37:37,Mid,
4,10:52:57,0:15:20,26,Y,0.137,5/22/25,1,RCC00036_bucket_e3v810a-20250522T103737-113738.mp4,10:37:37,Mid,
5,,Failed Hunt,,N,0.137,5/22/25,1,RCC00036_bucket_e3v810a-20250522T103737-113738.mp4,10:37:37,,
6,11:46:33,0:08:55,1.3,N,0.157,5/22/25,1,RCC00036_bucket_e3v810a-20250522T113738-123739.mp4,11:37:38,,
6,11:46:41,0:09:03,6,N,0.157,5/22/25,1,RCC00036_bucket_e3v810a-20250522T113738-123739.mp4,11:37:38,High,
6,11:46:48,0:09:10,19,Y,0.157,5/22/25,1,RCC00036_bucket_e3v810a-20250522T113738-123739.mp4,11:37:38,Mid,
1,9:31:22,0:53:28,0.6,N,0.172,5/23/25,2,RCC00036_bucket_e3v810a-20250523T083754-093755.mp4,8:37:54,,
1,9:32:04,0:54:10,0.7,N,0.172,5/23/25,2,RCC00036_bucket_e3v810a-20250523T083754-093755.mp4,8:37:54,,
1,9:32:06,0:54:12,2,N,0.172,5/23/25,2,RCC00036_bucket_e3v810a-20250523T083754-093755.mp4,8:37:54,,
1,9:32:12,0:54:18,5,N,0.172,5/23/25,2,RCC00036_bucket_e3v810a-20250523T083754-093755.mp4,8:37:54,,
1,9:32:20,0:54:26,26,Y,0.172,5/23/25,2,RCC00036_bucket_e3v810a-20250523T083754-093755.mp4,8:37:54,High,
