trial,start_contact_wall_time,start_contact_in_video,duration,capture_or_not,roach_weight,date,day,Video_File,video_start_time,duration_confidence,description
1,,Failed Hunt,,N,0.141,6/4/25,0,RCC00043_bucket_e3v810a-20250604T163625-173625.mp4,16:36:25,,
1,9:32:25,0:55:30,30,Y,0.113,6/6/25,1,RCC00043_bucket_e3v810a-20250606T083655-093656.mp4,8:36:55,Mid,
2,10:05:31,0:28:35,27,Y,0.145,6/6/25,1,RCC00043_bucket_e3v810a-20250606T093656-103657.mp4,9:36:56,Mid,
3,10:16:22,0:39:26,24,Y,0.166,6/6/25,1,RCC00043_bucket_e3v810a-20250606T093656-103657.mp4,9:36:56,Mid,
4,10:29:06,0:52:10,16,Y,0.093,6/6/25,1,RCC00043_bucket_e3v810a-20250606T093656-103657.mp4,9:36:56,Mid,
5,10:40:35,1:03:39,16,Y,0.103,6/6/25,1,RCC00043_bucket_e3v810a-20250606T093656-103657.mp4,9:36:56,Mid,"I do not see the classic head-lift motion, not sure when it ends."
6,10:52:06,0:15:09,19,Y,0.096,6/6/25,1,RCC00043_bucket_e3v810a-20250606T103657-113658.mp4,10:36:57,High,
1,8:46:00,0:08:47,19,Y,0.111,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4,8:37:13,High,
2,8:56:47,0:19:34,17,Y,0.088,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4,8:37:13,High,
3,9:08:32,0:31:19,16,Y,0.127,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4,8:37:13,High,
4,9:17:35,0:40:22,15,Y,0.105,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4,8:37:13,Low,Last try started with a flipped roach
5,9:31:47,0:54:34,15,Y,0.174,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4,8:37:13,High,
6,9:50:29,0:13:15,10,Y,0.106,6/7/25,2,RCC00043_bucket_e3v810a-20250607T093714-103715.mp4,9:37:14,High,
1,9:45:08,0:08:16,16,Y,0.145,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4,9:36:52,Mid,
2,9:55:28,0:18:36,7,Y,0.102,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4,9:36:52,High,
3,10:04:46,0:27:54,11,Y,0.097,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4,9:36:52,High,
4,10:15:04,0:38:12,7,Y,0.201,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4,9:36:52,High,
5,10:24:42,0:47:50,26,Y,0.13,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4,9:36:52,High,
6,10:35:08,0:58:16,14,Y,0.158,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4,9:36:52,Mid,The start can also be 10:35:05
1,10:07:48,0:30:38,8,Y,0.127,6/9/25,4,RCC00043_bucket_e3v810a-20250609T093710-103710.mp4,9:37:10,High,clear head-lift to remove roach head
2,10:07:51,0:30:41,9,Y,0.099,6/9/25,4,RCC00043_bucket_e3v810a-20250609T093710-103710.mp4,9:37:10,High,
3,10:27:02,0:49:52,19,Y,0.117,6/9/25,4,RCC00043_bucket_e3v810a-20250609T093710-103710.mp4,9:37:10,High,
4,10:38:23,0:01:13,9,Y,0.2,6/9/25,4,RCC00043_bucket_e3v810a-20250609T103710-113711.mp4,10:37:10,High,
5,10:46:53,0:09:43,20,Y,0.198,6/9/25,4,RCC00043_bucket_e3v810a-20250609T103710-113711.mp4,10:37:10,Low,
6,10:59:02,0:21:52,10,Y,0.179,6/9/25,4,RCC00043_bucket_e3v810a-20250609T103710-113711.mp4,10:37:10,High,
